Local time,Ask,Bid,AskVolume,BidVolume
18.11.2019 14:31:21.185 GMT-0000,38.802,38.778000000000006,0,0.0008
18.11.2019 14:31:21.317 GMT-0000,38.793,38.778000000000006,0,0.0008
18.11.2019 14:31:21.881 GMT-0000,38.792,38.778000000000006,0,0.0008
18.11.2019 14:31:22.237 GMT-0000,38.793,38.777,0,0.002
18.11.2019 14:31:22.287 GMT-0000,38.802,38.778000000000006,0,0.0008
18.11.2019 14:31:22.392 GMT-0000,38.792,38.778000000000006,0,0.002
18.11.2019 14:31:22.543 GMT-0000,38.803000000000004,38.787,0.002,0.002
18.11.2019 14:31:23.210 GMT-0000,38.812,38.788000000000004,0,0.0008
18.11.2019 14:31:23.261 GMT-0000,38.823,38.797,0.002,0.002
18.11.2019 14:31:23.311 GMT-0000,38.812,38.798,0,0.0008
18.11.2019 14:31:23.361 GMT-0000,38.821999999999996,38.798,0.002,0.002
18.11.2019 14:31:23.895 GMT-0000,38.823,38.797,0.002,0.002
18.11.2019 14:31:24.030 GMT-0000,38.821999999999996,38.798,0,0.0008
18.11.2019 14:31:24.523 GMT-0000,38.821999999999996,38.807,0,0.0008
18.11.2019 14:31:24.623 GMT-0000,38.821999999999996,38.798,0.002,0.002
18.11.2019 14:31:24.756 GMT-0000,38.821999999999996,38.818000000000005,0,0.0008
18.11.2019 14:31:24.806 GMT-0000,38.842,38.828,0,0.0008
18.11.2019 14:31:25.082 GMT-0000,38.842,38.818000000000005,0,0.0008
18.11.2019 14:31:25.632 GMT-0000,38.832,38.818000000000005,0.002,0.002
18.11.2019 14:31:25.976 GMT-0000,38.821999999999996,38.818000000000005,0,0.0008
18.11.2019 14:31:26.026 GMT-0000,38.821999999999996,38.808,0,0.0008
18.11.2019 14:31:26.077 GMT-0000,38.842,38.828,0.002,0.002
18.11.2019 14:31:26.435 GMT-0000,38.853,38.836999999999996,0.002,0.002
18.11.2019 14:31:26.790 GMT-0000,38.852,38.838,0.002,0.002
18.11.2019 14:31:27.047 GMT-0000,38.863,38.836999999999996,0.002,0.002
18.11.2019 14:31:27.754 GMT-0000,38.862,38.838,0,0.0008
18.11.2019 14:31:28.199 GMT-0000,38.852,38.838,0.002,0.002
